Feature,Correlation_Coefficient
Danceability,0.0546785110719862
Loudness,0.03742244233324701
Duration_ms,0.03014632769906549
Speechiness,0.020577773141782243
Energy,0.005415900120796691
Tempo,-0.00887455003320084
Valence,-0.014325985410352801
Acousticness,-0.03187059454211098
Liveness,-0.03377074894222432
Instrumentalness,-0.044126168157627495
