Year,Valence,Energy,Danceability,Tempo,Acousticness,Loudness,Duration_ms
1956,0.419,0.105,0.797,122.545,0.885,-16.881,183133.0
1958,0.7148333333333333,0.5491666666666667,0.632,134.96383333333333,0.6368333333333333,-7.7763333333333335,148348.66666666666
1959,0.6573333333333333,0.618,0.5286666666666667,98.11233333333332,0.7566666666666667,-8.722,161257.66666666666
1960,0.529125,0.402375,0.429125,117.285375,0.6915,-10.6935,165974.75
1961,0.6823333333333333,0.49366666666666664,0.4686666666666666,142.697,0.4263333333333333,-9.93,153888.66666666666
1962,0.6558571428571429,0.4947142857142857,0.5487142857142857,115.99314285714286,0.6290000000000001,-9.400857142857143,163082.0
1963,0.71625,0.447725,0.6105,128.739625,0.59725,-11.343250000000001,167295.875
1964,0.7097142857142857,0.49024285714285715,0.587,117.40785714285714,0.5245714285714286,-11.627571428571429,165538.7142857143
1965,0.7775384615384616,0.6457692307692308,0.549,121.03715384615384,0.3294,-8.994307692307693,160550.38461538462
1966,0.6536,0.4767,0.5892000000000001,117.63820000000001,0.43728,-11.5116,163979.7
1967,0.58525,0.433375,0.558125,115.177375,0.535625,-10.819875,166985.875
1968,0.6278333333333334,0.5383888888888889,0.5171111111111111,116.92977777777777,0.4861111111111111,-9.416333333333334,176752.77777777778
1969,0.6766363636363636,0.5030363636363636,0.538,119.98309090909092,0.4418090909090909,-12.175636363636363,227748.63636363635
1970,0.7954166666666667,0.5476666666666666,0.5694166666666667,122.12358333333333,0.42050000000000004,-11.168750000000001,206610.58333333334
1971,0.6660666666666667,0.4878733333333333,0.554,124.6564,0.43055333333333334,-12.299933333333334,218105.93333333332
1972,0.625904761904762,0.5052666666666666,0.540952380952381,117.24128571428571,0.4991428571428571,-11.422761904761906,215468.7142857143
1973,0.6573888888888889,0.7206666666666667,0.5413888888888889,124.64150000000001,0.2962612777777778,-7.831055555555555,226901.72222222222
1974,0.6378157894736841,0.5796842105263158,0.5246842105263158,111.03244736842106,0.3493375263157895,-10.389184210526315,209998.2105263158
1975,0.7034838709677419,0.5526774193548387,0.6074838709677419,119.32232258064515,0.38225580645161295,-10.899677419354838,228103.09677419355
1976,0.65575,0.6686,0.52435,117.72184999999999,0.217284125,-9.36815,257291.675
1977,0.6441538461538462,0.5604615384615385,0.5719384615384615,118.81638461538462,0.3501972307692308,-9.634,224331.0
1978,0.6864848484848485,0.6150000000000001,0.617,116.33666666666667,0.28738287878787877,-9.330363636363636,253253.9696969697
1979,0.6852352941176472,0.6643529411764706,0.6148823529411764,113.6509411764706,0.2682570588235294,-8.549882352941175,229262.29411764705
